cpu_mean,cpu_max,cpu_variance,ram_mean,ram_growth_rate,network_mean,disk_io_mean,process_count_mean,thread_count_mean,vscode_active,browser_active,compiler_active,workload_label
1.782,5.4532,0.1787,12.0054,-0.4679,-0.0521,1.2265,56,2.2391,0,0,0,Idle
16.6046,46.6378,21.1542,34.9976,1.2671,0.5468,0.6034,104,4.9966,1,1,0,Coding
1.0484,7.2097,0.8216,12.5698,-0.8639,0.0167,1.7803,59,2.1144,0,0,0,Idle
27.4416,54.766,15.8803,36.1648,1.7007,0.4834,0.6659,97,3.9437,1,1,0,Coding
15.2809,48.8066,13.7126,30.7436,0.7095,0.316,0.6842,108,4.7736,1,1,0,Coding
38.9204,59.4759,9.5168,49.2505,0.1658,-0.0307,0.909,102,7.287,0,1,0,Video Call
10.6665,71.9067,59.7679,41.8828,1.6049,-0.0156,0.8041,127,2.9185,0,1,0,Browsing
1.5406,6.3491,0.8779,15.8713,-0.3407,0.0553,1.5354,59,1.7071,0,0,0,Idle
1.8,7.6119,0.5359,14.2887,-0.2209,-0.024,0.9231,65,1.4359,0,0,0,Idle
20.6889,49.8864,21.6057,38.9414,0.5762,0.0538,0.749,107,6.2171,1,1,0,Coding
42.2936,61.9229,12.2934,55.2161,0.479,0.2602,1.3855,94,9.9796,0,1,0,Video Call
20.7629,36.6861,15.6839,36.1219,0.7564,0.0798,0.4682,104,4.6999,1,1,0,Coding
2.1876,6.1303,0.364,14.9287,-0.3482,-0.2158,1.4127,61,2.0932,0,0,0,Idle
72.0479,89.097,2.6906,77.8032,0.0522,0.1263,0.5134,95,14.9488,0,0,0,Gaming
83.0421,89.9219,1.6222,79.7166,0.5579,0.077,0.5292,98,13.2302,0,0,0,Gaming
19.5848,38.8309,20.6188,32.5879,0.3592,0.0699,0.3623,109,5.5402,1,1,0,Coding
29.101,61.8981,10.2276,50.1972,-0.2304,0.0003,1.4,103,7.6396,0,1,0,Video Call
91.6337,100.0,2.8979,68.0214,5.9797,0.1262,0.1574,170,20.8726,1,0,1,Compiling
3.1205,10.2587,0.4764,14.9427,0.4096,0.0596,1.6182,54,1.7918,0,0,0,Idle
79.7682,91.4522,2.1308,72.442,0.157,0.265,0.6488,88,18.2538,0,0,0,Gaming
15.2681,54.4327,18.3871,32.3868,-0.4241,-0.432,0.6744,110,4.9257,1,1,0,Coding
3.6561,5.8438,0.0006,19.0471,0.0751,-0.0056,0.7788,56,2.346,0,0,0,Idle
24.0183,44.85,16.9967,39.233,0.2476,0.2109,0.7372,100,6.5388,1,1,0,Coding
16.7456,40.9281,50.2837,38.1204,1.463,0.6169,0.4753,104,4.572,0,1,0,Browsing
3.1237,6.632,0.9143,15.0655,-0.0726,0.028,1.2016,64,2.3083,0,0,0,Idle
37.9271,59.2683,8.2061,48.9021,-0.0333,0.2455,1.2811,100,7.7499,0,1,0,Video Call
19.0389,50.319,16.4265,33.2015,0.5399,-0.0202,0.9986,104,6.0331,1,1,0,Coding
2.9605,6.0815,0.3715,17.9,0.0627,-0.1137,1.3304,59,1.9677,0,0,0,Idle
74.9155,89.208,2.3681,80.6629,-0.1607,0.2938,0.7036,95,12.8822,0,0,0,Gaming
32.0604,56.3752,13.7553,56.3264,-0.1195,0.065,0.6588,102,6.9383,0,1,0,Video Call
76.725,93.841,2.1918,74.9648,0.1928,-0.2931,0.6044,90,14.3874,0,0,0,Gaming
25.4779,54.3867,6.5488,53.6128,0.1578,-0.1541,0.8651,101,5.3947,0,1,0,Video Call
2.6433,10.2292,0.5487,14.4081,0.0336,0.1483,1.5475,62,2.5979,0,0,0,Idle
65.1327,88.9227,1.7093,78.0286,0.0043,0.0738,0.5988,95,11.9257,0,0,0,Gaming
33.5495,57.9644,8.7367,55.0101,-0.1295,-0.0273,1.2751,94,6.6799,0,1,0,Video Call
19.6861,44.3842,14.0168,38.56,1.0063,-0.1855,0.5485,115,5.726,1,1,0,Coding
22.1911,40.8625,19.106,35.9119,0.7882,0.1231,0.4584,105,5.6276,1,1,0,Coding
1.8329,5.806,0.9119,17.021,0.4145,0.1088,1.446,61,2.0514,0,0,0,Idle
75.6177,93.1123,2.8569,69.2056,0.5398,0.1305,1.0254,91,13.8041,0,0,0,Gaming
12.772,51.8964,37.4376,55.1991,0.4283,-0.1104,0.6398,110,4.9253,0,1,0,Browsing
16.8344,53.5271,58.4431,47.28,0.7804,0.4534,0.9471,133,5.3567,0,1,0,Browsing
70.7649,91.2672,2.7996,71.163,0.3519,0.0908,0.5533,91,15.4665,0,0,0,Gaming
75.8582,88.0123,2.3947,79.2865,0.0846,-0.3853,0.5413,103,14.8106,0,0,0,Gaming
76.4158,91.1764,2.0426,71.6181,-0.18,0.2263,0.3965,95,10.2501,0,0,0,Gaming
77.3513,92.454,1.1668,81.9351,0.1436,-0.1005,0.7037,93,11.3385,0,0,0,Gaming
92.4991,99.9642,2.879,65.3809,3.6746,-0.0622,0.3769,162,16.9225,1,0,1,Compiling
34.4898,58.2848,8.5745,50.8399,-0.0933,-0.3358,1.0265,90,7.9505,0,1,0,Video Call
2.9948,5.9077,0.3445,17.9748,0.0475,-0.1398,1.3756,56,1.4315,0,0,0,Idle
16.6004,64.6627,47.5089,46.9199,1.9321,1.1104,0.6592,124,4.7763,0,1,0,Browsing
2.601,8.6757,0.4199,16.3618,-0.0434,-0.0194,1.6028,54,2.0332,0,0,0,Idle
11.4192,55.5546,42.9163,51.3819,-0.1578,1.1757,0.8358,97,5.4329,0,1,0,Browsing
2.1681,6.6325,0.5896,13.2069,0.3531,0.0004,0.6949,59,0.7074,0,0,0,Idle
36.1246,58.2907,10.3293,47.859,0.2415,-0.1653,1.1764,110,6.9643,0,1,0,Video Call
90.7953,96.2857,5.6041,61.5819,6.6215,-0.0493,0.3055,167,11.536,1,0,1,Compiling
38.741,63.7617,8.2439,52.4214,-0.0898,0.1571,1.4482,95,5.6337,0,1,0,Video Call
19.0335,45.8226,17.7299,32.0772,0.2353,0.4807,0.7873,98,3.4832,1,1,0,Coding
12.1796,46.2742,18.6519,41.509,0.1395,0.4772,0.528,113,5.6326,1,1,0,Coding
2.8741,4.5739,0.3021,16.2712,-0.1494,-0.0553,1.1558,56,2.0476,0,0,0,Idle
18.2462,50.7763,19.6548,32.1716,0.6373,0.0978,1.1305,108,5.9835,1,1,0,Coding
2.6026,6.8154,0.3516,10.376,-0.3556,-0.0501,1.9502,68,2.4284,0,0,0,Idle
16.7604,42.808,55.5184,45.9456,1.2259,-0.0684,0.8079,110,6.4531,0,1,0,Browsing
2.3225,6.7217,0.3184,15.525,-0.3881,0.0003,1.2931,62,2.5213,0,0,0,Idle
16.0955,49.1871,59.6647,50.7239,0.685,0.1532,1.0795,104,5.6116,0,1,0,Browsing
86.4634,98.0985,3.7389,75.4256,5.764,0.1399,0.434,154,15.8443,1,0,1,Compiling
73.6392,90.1029,1.9072,64.1576,-0.3811,-0.11,0.81,94,14.6889,0,0,0,Gaming
82.9523,97.6617,4.5436,58.5139,5.5138,-0.2197,0.4277,152,24.1639,1,0,1,Compiling
30.0168,57.505,11.9796,50.6708,0.087,-0.116,1.0966,101,5.5102,0,1,0,Video Call
34.3388,60.4512,7.6599,50.1397,-0.0733,-0.0109,1.4778,100,7.0966,0,1,0,Video Call
13.5432,65.7183,34.2245,46.8917,1.0228,0.4024,1.0514,111,4.8704,0,1,0,Browsing
10.1022,54.3731,48.5508,48.7476,0.8379,2.0423,1.2124,115,4.6199,0,1,0,Browsing
88.9545,96.9165,3.2581,75.2381,5.1243,0.1302,0.3584,153,18.3416,1,0,1,Compiling
35.1681,67.2497,12.3764,42.8894,0.0231,0.2807,1.3084,104,7.4969,0,1,0,Video Call
12.8097,47.6978,14.0225,33.66,-0.5424,-0.0991,0.9089,105,5.5313,1,1,0,Coding
14.5661,59.8617,39.1787,47.214,1.6239,0.1812,1.0849,119,5.1096,0,1,0,Browsing
81.6475,90.3933,2.8389,81.8395,0.4162,0.3057,0.6166,91,14.1496,0,0,0,Gaming
19.3822,45.978,39.0346,34.2222,0.7591,0.5955,0.8546,112,5.759,0,1,0,Browsing
2.8456,7.9971,0.5364,17.826,-0.4622,-0.0305,1.5189,66,2.5133,0,0,0,Idle
14.815,44.1379,12.6761,36.7802,-0.4179,-0.0762,0.6871,105,4.0169,1,1,0,Coding
20.6308,39.2156,23.2065,30.7873,-0.035,-0.1669,0.5903,111,7.8216,1,1,0,Coding
37.3284,59.5363,11.7818,57.4657,0.3408,0.3965,1.0282,103,7.7947,0,1,0,Video Call
2.1168,9.9991,0.6135,11.1945,0.1659,-0.0407,1.5006,61,2.1953,0,0,0,Idle
24.4612,46.0734,16.0144,37.6815,0.9079,0.5506,0.7173,103,6.9721,1,1,0,Coding
32.7956,51.7908,10.3726,49.6377,0.3291,-0.0172,0.8725,105,5.1329,0,1,0,Video Call
2.24,8.1028,0.31,11.5372,-0.2218,0.1349,1.2707,67,2.2457,0,0,0,Idle
87.1843,98.4586,3.7998,65.6331,0.314,-0.1364,0.1524,158,15.0925,1,0,1,Compiling
11.9507,41.7798,53.1899,49.4169,-0.2085,1.2671,0.5999,110,3.8117,0,1,0,Browsing
2.5196,6.3774,0.4909,16.1583,-0.3516,-0.1721,1.3901,62,1.8505,0,0,0,Idle
16.2216,47.5885,36.7917,52.3717,1.3054,0.6962,0.9753,111,4.962,0,1,0,Browsing
95.5955,96.5726,5.6619,56.8753,3.1206,-0.2311,0.3243,149,18.3449,1,0,1,Compiling
18.8525,57.6783,45.0821,51.3685,1.3415,0.9895,0.486,108,6.0152,0,1,0,Browsing
2.428,6.7406,0.4777,16.404,-0.0383,-0.1497,1.6329,59,1.8915,0,0,0,Idle
30.3811,46.1031,19.3724,34.6256,0.4604,-0.1716,0.7645,102,4.2233,1,1,0,Coding
19.5363,50.9872,24.6787,28.1436,-0.3288,-0.0494,0.5159,113,5.2342,1,1,0,Coding
43.0337,65.1697,11.0994,50.8901,0.2709,0.1188,0.675,95,6.9908,0,1,0,Video Call
17.0572,46.1888,54.6198,41.5907,1.8265,0.2162,1.6838,100,6.0202,0,1,0,Browsing
19.2081,51.1869,22.3369,36.3643,-0.319,-0.1262,0.7002,107,5.8796,1,1,0,Coding
17.331,51.0931,55.5573,45.1164,2.1688,0.5612,0.645,113,5.9705,0,1,0,Browsing
91.5436,98.2405,4.4948,63.5676,6.3118,0.1177,0.492,154,19.2496,1,0,1,Compiling
85.0368,98.5995,3.5961,58.8425,2.1932,-0.142,0.3493,157,17.523,1,0,1,Compiling
41.2271,60.059,11.8358,62.8748,-0.0894,0.2579,1.2479,99,5.1865,0,1,0,Video Call
92.6206,99.0741,2.4197,66.3272,3.6709,-0.0444,0.3083,142,15.974,1,0,1,Compiling
16.3196,55.9329,46.8615,54.9928,1.5695,-0.1634,1.1637,122,4.7176,0,1,0,Browsing
7.8785,45.8263,38.3073,49.164,-0.4721,1.5885,1.3073,128,4.4235,0,1,0,Browsing
11.7434,67.4981,31.0283,38.2343,0.6434,0.1202,1.0993,114,4.7358,0,1,0,Browsing
35.2973,59.9731,7.8519,42.4739,-0.686,0.1453,1.1789,104,7.2528,0,1,0,Video Call
77.6713,88.0023,1.8801,76.0825,-0.0649,-0.3511,0.7682,96,9.2443,0,0,0,Gaming
91.3928,97.478,5.0169,63.9884,2.7834,0.0453,0.2945,142,13.144,1,0,1,Compiling
37.4888,62.285,10.8823,44.5811,0.2455,0.2823,1.0461,99,5.4305,0,1,0,Video Call
17.4016,44.9989,22.3214,32.7513,-0.3548,0.0233,1.0519,113,6.5327,1,1,0,Coding
70.4914,91.3747,1.7527,83.4505,0.1517,-0.1538,0.6719,98,16.8234,0,0,0,Gaming
16.3282,50.9722,62.607,50.3345,1.3151,0.6948,1.2413,112,6.1549,0,1,0,Browsing
74.4191,91.0291,0.7849,71.0108,0.1749,0.113,0.5917,97,11.5146,0,0,0,Gaming
29.7069,40.1361,13.9366,32.1162,0.8669,0.1647,0.676,102,4.7404,1,1,0,Coding
22.878,44.7472,16.3597,36.6747,1.2471,-0.1901,0.6722,111,5.9808,1,1,0,Coding
70.0762,86.3615,2.3046,67.0501,0.1818,0.1493,0.5202,95,10.332,0,0,0,Gaming
13.6408,59.6774,46.2742,46.2807,1.3308,-0.046,1.2011,117,5.166,0,1,0,Browsing
2.5349,7.3167,0.5074,17.2697,0.0684,-0.0315,1.0157,62,2.2641,0,0,0,Idle
67.1479,92.6078,1.6719,84.8034,-0.1565,0.1588,0.5205,97,14.8178,0,0,0,Gaming
38.6647,58.0147,14.6475,50.6959,-0.2486,0.0529,0.5549,96,4.8903,0,1,0,Video Call
90.6317,100.0,3.1483,75.2741,8.4641,-0.0453,0.1765,146,16.0383,1,0,1,Compiling
36.285,62.0318,8.1054,48.7668,0.346,0.1112,1.5276,95,6.0391,0,1,0,Video Call
16.5243,43.14,19.2776,37.6704,1.1164,0.0003,1.0033,101,7.2107,1,1,0,Coding
77.5334,89.0937,2.4303,76.4362,0.0618,0.0075,0.575,90,11.9153,0,0,0,Gaming
88.4032,99.5951,4.3736,65.0181,5.838,0.2002,0.3902,143,14.6376,1,0,1,Compiling
2.6241,8.1735,0.2774,16.1365,-0.4544,-0.262,1.2572,57,2.438,0,0,0,Idle
86.3819,97.7853,4.2564,60.4588,3.1578,0.0855,0.2493,141,16.8199,1,0,1,Compiling
83.4859,98.8639,4.4663,64.8728,3.9433,-0.2031,0.3405,145,18.728,1,0,1,Compiling
2.665,6.7398,0.5435,14.2294,0.4038,0.0934,1.693,56,1.4503,0,0,0,Idle
28.4338,56.8416,13.5029,51.6791,-0.325,0.1675,1.5764,101,7.92,0,1,0,Video Call
85.0047,98.9202,4.4142,64.7791,7.9151,0.1612,0.3053,162,13.267,1,0,1,Compiling
79.4526,89.1388,1.1045,77.3809,0.0616,0.2546,0.348,95,13.1444,0,0,0,Gaming
11.5995,55.9764,64.3071,52.3768,-0.0212,0.8446,1.5571,112,5.5477,0,1,0,Browsing
17.6844,50.1548,19.7644,36.4405,0.1758,0.2639,0.9202,106,5.3682,1,1,0,Coding
2.7702,6.7926,0.3045,11.0225,0.1354,-0.1552,0.8171,65,1.3993,0,0,0,Idle
34.8416,60.9499,10.1904,43.2091,0.0902,-0.194,1.4362,108,8.0154,0,1,0,Video Call
41.3348,59.548,6.6445,49.1946,0.0947,0.2528,0.9178,89,4.1328,0,1,0,Video Call
39.591,63.8351,6.9918,47.6475,0.508,0.1542,1.09,104,8.7061,0,1,0,Video Call
20.6177,75.5466,49.1798,48.6243,0.6558,0.7788,0.4787,111,4.7079,0,1,0,Browsing
76.8142,88.8334,1.843,78.3184,-0.2556,0.0511,0.5553,97,12.2479,0,0,0,Gaming
86.5724,99.6756,5.1543,61.4689,1.2326,-0.1417,0.2443,130,17.7494,1,0,1,Compiling
92.5552,96.4167,3.5363,63.7659,1.3928,-0.3119,0.3999,169,13.8013,1,0,1,Compiling
8.5191,69.4327,39.585,44.4298,1.8956,0.7655,1.137,108,3.9898,0,1,0,Browsing
24.4715,45.0352,19.1857,32.8229,0.5162,0.0983,1.0097,103,3.9376,1,1,0,Coding
24.4375,34.5344,18.6172,39.2187,1.4058,-0.1852,0.8552,110,6.7058,1,1,0,Coding
88.6088,98.896,3.8866,61.6523,5.2684,0.0956,0.3694,169,14.7524,1,0,1,Compiling
93.4994,99.1645,3.6335,65.5403,9.3559,-0.0434,0.2567,157,19.9324,1,0,1,Compiling
17.7636,42.246,23.9431,33.7388,0.623,0.2772,0.7949,98,5.8281,1,1,0,Coding
17.4572,47.8817,12.7875,38.2345,0.4698,-0.0282,0.5729,98,5.1898,1,1,0,Coding
90.9232,97.4435,3.296,60.3134,5.0631,0.1726,0.2832,163,15.3588,1,0,1,Compiling
21.4267,46.4779,20.7131,34.2275,0.3125,-0.0001,1.1982,100,6.5793,1,1,0,Coding
10.3573,66.138,49.536,44.1377,0.7017,0.6532,0.3173,128,4.8424,0,1,0,Browsing
11.5483,48.7223,54.1897,44.0083,1.3228,0.7635,0.7668,124,5.3074,0,1,0,Browsing
88.4414,98.2519,3.773,64.457,3.9588,0.0518,0.3146,157,19.9732,1,0,1,Compiling
19.8962,45.8671,15.4188,32.4846,0.6251,0.3683,0.7539,108,5.2691,1,1,0,Coding
43.5671,58.7403,14.8919,43.3979,0.8699,0.1756,0.9462,105,7.4596,0,1,0,Video Call
3.0552,7.6168,0.4102,18.5674,-0.0305,-0.0871,1.0119,57,1.818,0,0,0,Idle
16.5332,59.7028,54.5988,49.3601,0.8928,0.2879,0.883,105,4.2634,0,1,0,Browsing
10.6524,56.2296,48.6225,43.2905,-0.7435,1.0079,0.9123,115,3.146,0,1,0,Browsing
15.3955,49.2822,45.3045,39.2858,1.0801,0.5829,1.0186,119,5.5599,0,1,0,Browsing
16.5154,43.2939,19.45,30.1553,0.4968,0.12,1.0596,110,6.2663,1,1,0,Coding
88.2616,97.9075,6.1236,65.9996,9.9884,0.2445,0.3865,157,22.8754,1,0,1,Compiling
74.2496,92.2357,1.4229,79.1614,-0.6031,0.5019,0.3366,86,10.6445,0,0,0,Gaming
16.043,45.3809,21.8293,39.8522,0.5633,0.2522,0.767,103,6.885,1,1,0,Coding
2.6459,5.9894,0.5803,16.055,-0.4056,-0.1014,1.3603,58,2.0835,0,0,0,Idle
43.9204,65.3069,11.8439,40.8442,0.4342,-0.027,1.1751,107,7.4994,0,1,0,Video Call
2.1113,8.5879,0.2331,14.8411,0.0223,-0.0999,2.0372,64,1.0142,0,0,0,Idle
77.8443,89.4171,2.3628,76.2455,0.1467,0.0297,0.305,100,14.3099,0,0,0,Gaming
3.0514,4.4164,0.538,15.8229,0.1611,0.0557,1.7433,55,2.308,0,0,0,Idle
2.7328,4.0646,0.493,17.7963,0.638,0.0562,1.6237,56,1.5784,0,0,0,Idle
69.7289,90.5323,1.6207,78.3517,-0.0621,0.0848,0.6296,93,12.394,0,0,0,Gaming
10.9587,55.5293,51.0224,49.3578,1.8546,0.5589,1.04,109,6.4396,0,1,0,Browsing
74.3395,87.2343,2.0042,77.8757,-0.3484,-0.2177,0.8233,90,10.6635,0,0,0,Gaming
67.5601,87.8467,3.016,74.9274,-0.0315,-0.0933,0.6728,101,13.9412,0,0,0,Gaming
79.0347,90.615,2.2313,75.8839,-0.5089,-0.0558,0.5429,100,12.8041,0,0,0,Gaming
28.9343,61.1111,7.3417,51.6941,0.1417,0.023,1.07,106,5.9447,0,1,0,Video Call
2.0769,7.6612,0.4517,17.9828,0.0097,-0.1032,1.5967,57,1.5639,0,0,0,Idle
16.6172,52.8922,41.6687,39.7581,1.088,0.4771,1.224,112,3.5004,0,1,0,Browsing
36.5058,57.8247,9.4486,50.5742,-0.4032,0.236,1.2617,88,7.4164,0,1,0,Video Call
2.2458,6.6894,0.6594,14.588,-0.2697,-0.072,1.6091,58,2.044,0,0,0,Idle
70.4652,88.4886,2.1494,71.8572,0.2688,-0.3253,0.781,93,7.7455,0,0,0,Gaming
14.5346,47.8183,51.3322,38.4536,1.7013,0.2008,1.5951,123,3.926,0,1,0,Browsing
36.5652,55.6833,10.9682,49.5921,0.1609,-0.0449,1.0599,104,6.3589,0,1,0,Video Call
19.3566,52.6735,10.5547,30.406,0.1423,0.3074,0.4736,101,6.7128,1,1,0,Coding
92.0996,98.3403,4.5883,56.4216,1.5563,-0.1016,0.2416,148,16.6313,1,0,1,Compiling
18.914,46.9088,21.8193,32.7811,1.3324,-0.1241,0.7808,103,7.8255,1,1,0,Coding
22.1393,35.1454,13.8124,34.8193,0.0546,0.0242,1.0828,105,4.2895,1,1,0,Coding
21.576,39.8912,14.6964,33.6001,-0.1811,0.0765,1.02,103,4.8047,1,1,0,Coding
74.655,90.2263,1.278,65.2445,0.1448,0.1331,0.8642,101,9.8921,0,0,0,Gaming
75.4957,91.1776,1.1755,69.356,0.2829,-0.1082,0.5689,94,11.7491,0,0,0,Gaming
40.546,62.8373,7.6284,53.1163,0.309,0.2256,1.6674,94,7.8031,0,1,0,Video Call
17.7156,53.6099,19.9433,35.9457,0.1855,0.2827,0.773,111,5.2796,1,1,0,Coding
89.4927,97.8808,1.7177,65.4304,5.4587,0.1777,0.3173,162,21.9257,1,0,1,Compiling
78.028,87.8105,1.3389,69.1965,0.1639,0.0893,0.8261,95,12.433,0,0,0,Gaming
2.7015,7.8538,0.7874,14.4343,-0.478,-0.0078,1.8238,60,2.1591,0,0,0,Idle
20.7377,48.5511,18.0495,35.5187,1.1939,0.1337,1.125,109,5.2366,1,1,0,Coding
23.308,47.1074,17.6654,27.5406,0.2252,0.3912,0.9075,106,4.0631,1,1,0,Coding
93.8233,96.5255,4.5072,69.0738,5.8759,-0.066,0.5082,141,15.8978,1,0,1,Compiling
11.1191,53.3147,45.3204,54.0493,1.6719,0.3289,0.9504,107,5.7558,0,1,0,Browsing
22.7037,46.2628,11.4254,30.9638,0.2064,0.4551,1.1263,108,6.9229,1,1,0,Coding
83.3184,96.2463,4.9005,66.7548,7.5223,0.3366,0.2905,150,16.4678,1,0,1,Compiling
76.9931,88.8329,1.7088,75.6059,0.0978,0.1251,0.7154,97,11.5539,0,0,0,Gaming
17.2743,63.6603,30.0666,41.7284,1.2049,0.8754,1.0451,116,5.4391,0,1,0,Browsing
39.1827,59.0056,11.2761,49.449,-0.0357,0.4374,1.4841,100,6.5031,0,1,0,Video Call
83.2456,96.6627,4.1674,67.0689,2.1517,0.0558,0.2847,150,17.0436,1,0,1,Compiling
12.6414,34.9521,18.4629,36.4949,0.4377,0.0016,1.0556,112,4.9078,1,1,0,Coding
3.2656,6.6585,0.2038,15.7591,0.2058,0.0051,1.1901,59,1.7056,0,0,0,Idle
33.7523,59.2071,10.8235,45.9404,0.0821,-0.2848,1.2905,97,5.9223,0,1,0,Video Call
30.8874,57.3212,10.6187,50.0563,0.6785,-0.0508,1.4145,105,8.4747,0,1,0,Video Call
32.1141,55.4585,12.3111,51.0796,-0.2954,0.0744,0.7593,98,6.0738,0,1,0,Video Call
95.2352,96.2738,5.0375,58.4965,5.7462,0.0011,0.2361,148,18.3627,1,0,1,Compiling
88.9826,96.4304,5.97,71.5799,7.9662,0.1125,0.2935,145,16.6248,1,0,1,Compiling
22.2823,51.1289,19.6262,38.4523,0.58,-0.0461,0.8938,107,6.1807,1,1,0,Coding
18.8182,46.0088,14.7,40.556,0.9958,0.3882,0.9193,104,2.9621,1,1,0,Coding
70.1453,89.695,0.6039,68.2582,-0.3524,0.0138,0.9597,85,12.881,0,0,0,Gaming
2.0856,8.4713,0.4912,17.9748,-0.4775,-0.1076,1.9268,58,1.4707,0,0,0,Idle
89.5604,99.862,4.0109,62.5661,6.0062,0.1352,0.1818,169,17.5817,1,0,1,Compiling
2.5533,6.7232,0.7516,15.6991,0.224,0.1195,2.0056,61,2.3629,0,0,0,Idle
2.2469,4.991,0.5604,14.6503,0.0499,0.0375,1.2959,61,2.8688,0,0,0,Idle
16.2869,51.1975,21.8547,33.5777,1.2091,-0.4831,0.6771,108,6.4463,1,1,0,Coding
74.896,91.9203,2.8546,71.6854,-0.3205,0.1427,0.2405,99,12.2513,0,0,0,Gaming
87.6043,97.0899,4.1304,57.5092,5.556,-0.1048,0.0904,141,12.0669,1,0,1,Compiling
90.795,98.6016,3.4127,60.4981,5.5238,-0.0411,0.3033,162,15.4364,1,0,1,Compiling
11.6576,61.8706,52.6763,48.0933,2.7532,0.7025,0.7979,112,4.7882,0,1,0,Browsing
2.1729,7.2829,0.2739,15.2435,-0.4289,0.0585,1.3582,62,2.0913,0,0,0,Idle
18.9644,40.9311,48.431,39.181,0.0187,0.5023,1.4328,103,4.2536,0,1,0,Browsing
1.9043,7.8425,0.3739,13.1522,-0.1944,0.0246,0.6516,61,2.087,0,0,0,Idle
89.8075,98.4492,3.0348,58.4771,3.5247,0.0585,0.19,158,13.5604,1,0,1,Compiling
94.4183,97.4984,4.8012,68.2789,3.3299,0.2001,0.1906,145,18.3322,1,0,1,Compiling
78.1138,88.9441,2.2782,81.4746,0.3474,-0.1714,0.5822,94,12.9102,0,0,0,Gaming
89.657,97.4025,3.9043,66.3435,5.7072,-0.0824,0.4537,134,18.4338,1,0,1,Compiling
13.285,43.2613,53.9984,40.8206,-0.0551,0.692,0.7784,102,4.8057,0,1,0,Browsing
18.2846,54.7509,64.166,41.8416,0.8745,0.5982,0.8407,115,5.9217,0,1,0,Browsing
36.2525,58.8194,10.6268,41.8066,-0.5119,0.3223,0.8836,96,7.7166,0,1,0,Video Call
91.0456,99.5881,4.2521,64.5012,9.7116,0.0447,0.3805,156,15.2549,1,0,1,Compiling
17.5569,49.7226,20.6901,36.6756,0.5722,-0.5367,1.2437,103,6.5896,1,1,0,Coding
3.1455,9.5341,0.6196,12.528,0.0508,-0.1,1.4938,59,1.7145,0,0,0,Idle
93.273,99.6245,3.6193,69.4526,6.5287,-0.1294,0.3594,161,19.8909,1,0,1,Compiling
3.0793,6.5003,0.8772,15.2307,0.0015,0.0442,1.1577,55,3.0279,0,0,0,Idle
15.3724,57.5746,43.2178,43.3827,1.986,0.382,0.6194,125,4.9597,0,1,0,Browsing
86.1851,98.9207,4.9127,63.3092,6.4144,0.0723,0.4005,140,18.2396,1,0,1,Compiling
39.979,59.3111,10.2225,52.6187,0.0332,0.3285,1.2441,93,7.578,0,1,0,Video Call
3.1856,8.944,0.7805,17.9046,0.0791,0.0567,1.2272,52,2.2027,0,0,0,Idle
21.4571,47.0091,17.4464,34.1232,0.9566,0.0186,0.8516,99,6.0576,1,1,0,Coding
14.1984,54.9003,53.7548,44.2082,1.6246,0.8756,1.1196,121,4.4351,0,1,0,Browsing
78.7949,91.8946,2.1678,72.2421,0.3548,0.0088,0.6659,93,9.679,0,0,0,Gaming
