cpu_mean,cpu_max,cpu_variance,ram_mean,ram_growth_rate,swap_percent,network_mean,network_symmetry,net_variance,udp_tcp_ratio,disk_io_mean,process_count_mean,thread_count_mean,load_avg,ctx_switches_per_core,cpu_user_system_ratio,psi_cpu_some,psi_mem_some,psi_io_some,vscode_active,browser_active,compiler_active,cluster_id,workload_label
62.4754,75.826,3.5577,78.5009,-0.4686,8.4693,0.0361,0.2504,0.2659,0.4696,1.9838,453,112.5746,0.3965,1850.2369,3.9749,6.2905,0.753,0.7727,0,0,0,3,Gaming
12.1979,27.6966,20.8375,43.0984,1.7673,8.917,0.0763,0.0389,3.7842,0.1083,2.4754,422,70.8834,0.6828,438.2011,4.1247,1.4791,0.2718,0.4616,0,1,0,1,Browsing
9.98,20.0302,11.2427,45.5155,0.4947,8.1039,0.0648,0.9271,0.049,0.8557,1.1094,483,139.9031,0.0442,825.4044,2.2082,1.4645,0.0543,0.2139,0,1,0,0,Video_Call
72.2582,79.4765,2.4667,68.4949,0.2061,12.5992,0.0311,0.2666,0.2006,0.4294,1.7552,418,62.8824,0.868,1689.3979,6.4535,5.7404,0.3941,0.9633,0,0,0,3,Gaming
30.8907,43.4435,25.3639,42.4631,0.4345,6.2274,-0.003,0.0256,0.9107,0.072,1.0464,415,69.3035,0.7841,469.105,4.4888,0.1854,0.0,0.2952,1,1,0,5,Coding
26.3917,37.3789,8.1769,50.398,0.6782,8.5295,0.0823,0.715,0.0993,0.7795,0.7511,445,110.3751,0.5026,638.7386,2.6682,1.07,0.1272,0.2241,0,1,0,0,Video_Call
29.0824,37.3764,6.7245,38.6826,0.6502,8.4713,0.1008,0.644,0.0691,0.7356,1.374,426,59.0803,0.6999,760.8908,2.2042,1.4773,0.0303,0.169,0,1,0,0,Video_Call
1.212,4.6044,0.9453,31.0751,-0.313,5.1037,0.0001,0.0781,0.0543,0.1398,0.4663,419,66.523,0.6214,117.6759,2.6367,0.0307,0.0,0.009,0,0,0,4,Idle
48.5776,60.3691,5.8708,68.0336,3.5909,3.57,0.0099,0.0182,0.0209,0.0437,2.9378,471,146.0001,1.6047,2437.4851,9.1859,20.9956,1.5961,12.5032,1,1,1,2,Compiling
20.6024,33.4899,9.8826,47.0462,1.8012,7.6,0.0837,0.6252,0.0304,0.7245,1.8087,445,95.0357,0.3987,700.0967,2.4264,1.3401,0.1456,0.1993,0,1,0,0,Video_Call
86.6503,95.2698,2.1527,76.0675,0.2529,9.6428,0.0293,0.2975,0.2338,0.4059,1.7049,454,112.8286,0.6012,1454.4579,4.3842,2.84,0.0,0.5084,0,0,0,3,Gaming
23.4776,32.8549,9.1569,73.5697,6.5111,12.7708,0.0083,0.0043,0.0857,0.0706,4.7784,461,196.8579,1.2776,1951.8408,6.0579,22.2109,1.9011,10.6201,1,0,1,2,Compiling
34.2896,48.5699,15.277,35.6756,0.819,6.5431,0.0092,0.0316,1.6899,0.1088,1.5234,416,67.8681,0.8749,480.7676,3.529,0.2532,0.0169,0.3735,1,1,0,5,Coding
19.7556,29.9833,5.3423,44.6736,3.1073,11.5749,0.0045,0.0108,0.0609,0.0812,3.9369,484,215.8784,1.411,1834.3729,6.8167,22.1262,1.6301,12.5369,1,0,1,2,Compiling
2.6436,7.1747,1.3179,24.5952,0.0759,4.6861,0.0031,0.0245,0.0784,0.0964,0.3486,439,109.8444,0.3759,128.9465,2.8895,0.0,0.0025,0.0,0,0,0,4,Idle
10.5642,18.8401,15.0133,47.7229,1.1742,10.1075,0.0925,0.6354,0.0899,0.7603,1.214,484,159.2287,0.3744,737.0838,2.367,1.1697,0.0664,0.1949,0,1,0,0,Video_Call
19.2611,43.5713,20.3176,38.262,3.1403,9.1378,0.0382,0.0227,3.0347,0.0805,1.1122,401,45.9403,0.864,491.2238,3.2249,0.5694,0.2115,0.4131,0,1,0,1,Browsing
18.4431,29.2844,22.9176,41.5869,4.9437,8.842,0.0519,0.0259,3.6327,0.0888,1.8199,441,103.472,0.4506,456.7037,5.3401,1.3142,0.3177,0.6321,0,1,0,1,Browsing
77.8726,85.1734,2.5903,81.8496,0.0577,9.1548,0.0256,0.2744,0.1934,0.4048,0.6832,420,61.7324,0.6655,1576.4981,4.7076,5.3712,0.4524,1.1767,0,0,0,3,Gaming
67.9597,82.1284,3.8969,67.2947,-0.2565,9.8258,0.0497,0.2351,0.1685,0.3634,1.0591,425,55.1418,0.5418,1860.3323,6.5965,6.2403,0.1926,0.7473,0,0,0,3,Gaming
72.7225,80.9459,2.2827,72.8178,-0.3779,10.5597,0.0641,0.3285,0.1576,0.5344,0.1137,430,59.9743,0.7129,1592.1076,5.098,8.1426,0.4685,1.3704,0,0,0,3,Gaming
33.828,46.4274,14.2392,58.0003,0.8737,10.571,0.063,0.6943,0.1093,0.801,1.0813,466,109.4587,0.4286,957.4805,2.8123,0.3299,0.127,0.1414,0,1,0,0,Video_Call
10.1023,27.6968,11.6828,44.9352,0.5506,6.2359,0.1251,0.7133,0.0925,0.8698,1.4036,461,141.3574,0.1249,752.2931,2.5576,1.1453,0.074,0.0185,0,1,0,0,Video_Call
6.8158,19.1247,14.5682,50.6317,2.6304,11.7405,0.0913,0.784,0.0703,0.8105,0.8164,474,152.7129,0.1494,673.3917,2.0567,1.062,0.0957,0.111,0,1,0,0,Video_Call
4.3447,5.8778,1.6535,31.4819,0.2081,2.2946,0.0019,0.0361,0.0568,0.1275,0.0,419,47.8075,0.7534,81.9732,2.9868,0.0274,0.0,0.0037,0,0,0,4,Idle
21.5699,34.54,24.4485,47.4633,1.3667,11.7917,0.0429,0.0481,4.5347,0.1273,0.9804,408,76.6998,0.7797,367.9993,4.3626,0.8656,0.2246,1.1625,0,1,0,1,Browsing
23.3858,27.9525,7.0883,42.5382,5.293,11.0246,0.0054,0.0073,0.0939,0.0276,6.8229,480,204.7602,1.3906,2709.5484,4.6027,19.6708,1.16,8.9189,1,0,1,2,Compiling
91.7406,100.0,10.2879,59.3122,5.4291,13.8707,0.0024,0.0191,0.0753,0.0274,5.0302,428,99.0835,2.0753,2522.4415,11.8732,17.8878,1.5774,8.2345,1,1,1,2,Compiling
13.5461,20.865,5.823,46.9113,1.8193,4.2892,0.0942,0.8417,0.094,0.8249,0.8366,466,173.5304,0.0327,710.8371,1.8659,1.5954,0.1818,0.1257,0,1,0,0,Video_Call
25.1569,34.0706,22.1031,32.3162,0.3931,6.3837,0.006,0.0075,1.0571,0.0798,3.0747,417,76.8025,0.8044,314.9216,4.517,0.324,0.0089,0.2457,1,1,0,5,Coding
60.9797,66.975,7.245,56.9682,4.8549,13.8432,0.0012,0.0077,0.0964,0.0287,2.2315,453,138.3,1.7366,1284.6222,7.3252,10.987,2.3488,12.2754,1,0,1,2,Compiling
29.8508,48.2845,16.7722,42.2928,0.0621,2.21,0.0094,0.0171,1.8992,0.0754,1.6657,413,81.1846,0.5978,547.8243,4.1125,0.267,0.0,0.2008,1,1,0,5,Coding
24.378,33.0476,21.5762,43.9029,5.0715,11.0945,0.043,0.0443,3.2811,0.1405,2.3226,440,104.7062,0.4104,428.8887,5.1396,1.0522,0.2345,0.3198,0,1,0,1,Browsing
55.1603,64.4342,3.9866,63.5858,3.2291,16.3527,0.0062,0.0108,0.1064,0.0245,3.1783,452,141.0312,1.6232,2017.0905,8.0104,20.6778,2.5991,11.2931,1,0,1,2,Compiling
72.7407,84.9458,0.9115,70.9261,0.0323,9.514,0.051,0.344,0.2568,0.5202,1.6586,437,49.1768,0.528,1279.8052,7.1519,4.4875,0.5026,0.8177,0,0,0,3,Gaming
6.8709,10.4767,0.0,30.549,-0.1473,3.7959,0.003,0.027,0.0458,0.1745,0.6792,486,169.6292,0.2181,129.8778,3.3398,0.0338,0.0127,0.0,0,0,0,4,Idle
60.4973,76.1489,4.549,47.1839,5.6597,12.7155,0.006,0.0161,0.0886,0.0501,6.1751,455,126.0527,1.6728999999999998,2117.6294,7.0498,16.6669,2.1059,12.9355,1,0,1,2,Compiling
3.1968,5.9839,2.3965,29.6759,-0.0059,5.4263,0.0043,0.0797,0.123,0.0988,0.8222,446,106.6395,0.4817,177.6701,2.8634,0.027,0.0,0.005,0,1,0,4,Idle
27.404,43.936,20.5495,35.5573,0.3105,8.004,0.0063,0.0161,1.9251,0.0615,1.6293,478,116.2818,0.3154,514.2447,4.137,0.3202,0.0,0.1843,1,1,0,5,Coding
71.1271,87.4351,1.69,74.9316,0.4029,9.8413,0.0304,0.3351,0.0936,0.445,2.0188,437,78.812,0.6305,1556.9194,6.4665,3.4839,0.5421,0.846,0,0,0,3,Gaming
19.8585,41.8469,19.1599,48.8823,1.5626,8.2166,0.028,0.0225,3.5389,0.1321,1.4661,444,116.4019,0.331,403.1104,4.2956,0.707,0.1087,0.7432,0,1,0,1,Browsing
17.9667,40.2503,20.4697,31.4411,0.2768,11.6145,0.0011,0.0184,1.8286,0.0842,0.0913,484,171.7593,0.2668,512.3748,4.9314,0.4465,0.0,0.6214,1,0,0,5,Coding
5.4086,8.4078,1.0611,32.1788,-0.0865,5.0062,0.0048,0.0462,0.127,0.1213,0.808,487,152.4851,0.065,79.1004,2.4159,0.0,0.0,0.0,0,0,0,4,Idle
20.1934,35.3615,29.2497,45.1291,0.0734,6.1537,0.0126,0.0236,2.2245,0.1099,1.5423,441,114.0589,0.5052,465.0282,4.9739,0.2872,0.0,0.5586,1,1,0,5,Coding
55.4641,68.4704,1.1631,55.9404,3.5453,12.8495,0.006,0.0083,0.066,0.0765,5.4504,463,128.3065,1.5765,2171.9804,9.6328,25.1886,2.9955,18.6469,1,1,1,2,Compiling
12.2906,25.2297,16.0266,45.7553,0.5999,6.6763,0.0131,0.0355,1.8349,0.0749,1.4241,496,163.0835,0.0513,508.8815,3.9149,0.3287,0.0121,0.6845,1,1,0,5,Coding
21.2187,36.647,27.0293,36.8294,0.7144,2.4455,0.0065,0.0298,1.4033,0.1081,2.1034,439,101.3072,0.4027,453.7591,2.6098,0.4067,0.0066,0.4133,1,1,0,5,Coding
11.4379,27.5674,9.5873,41.1165,0.8522,4.0771,0.0821,0.7763,0.0826,0.8469,1.0051,471,145.5989,0.2363,714.6652,2.2332,1.2613,0.1452,0.2427,0,1,0,0,Video_Call
87.8627,88.3272,4.1481,50.0118,3.9145,13.3301,0.0105,0.0051,0.0839,0.0232,1.8567,433,106.7796,1.7997999999999998,1956.4093,5.9286,20.0485,2.7013,15.4187,1,0,1,2,Compiling
12.3207,24.7328,6.109,63.3052,5.4093,12.0865,0.0091,0.0067,0.057,0.0763,5.8374,469,201.337,1.3019,2587.4731,7.054,21.0932,2.0107,8.221,1,0,1,2,Compiling
18.5268,34.4683,30.9346,33.5564,4.254,8.2611,0.0516,0.0433,3.3255,0.1274,2.0446,413,69.5175,0.6123,503.6551,4.0096,0.9386,0.2122,0.757,0,1,0,1,Browsing
23.0705,43.2665,27.7215,56.7496,0.5287,7.2657,0.0084,0.012,1.6351,0.0655,3.1846,403,86.6258,0.7324,522.9488,4.8858,0.2859,0.0151,0.3318,1,1,0,5,Coding
19.7393,34.9715,27.0999,37.5968,4.3953,10.5816,0.0325,0.0347,4.5479,0.1295,2.4323,453,110.5084,0.3486,468.283,3.1157,1.1539,0.3068,0.8126,0,1,0,1,Browsing
45.3255,51.7519,6.313,54.0999,3.8607,14.5549,0.0022,0.0116,0.0596,0.0397,2.2249,441,121.8791,1.7,2499.2276,7.4012,23.0079,1.7297,13.8708,1,0,1,2,Compiling
8.6252,14.8562,31.7315,35.9605,-0.0649,9.0135,0.0107,0.0098,1.0513,0.1098,2.9571,493,180.7855,0.0696,454.1393,3.9618,0.26,0.0,0.4899,1,1,0,5,Coding
15.018,32.9895,18.6226,42.0552,0.4731,6.6958,0.0115,0.0071,1.638,0.0715,2.2054,421,67.488,0.8635,513.8938,4.8216,0.2512,0.0056,0.4047,1,1,0,5,Coding
75.206,87.6463,2.8995,62.6623,0.1334,11.0188,0.0196,0.177,0.117,0.3649,0.8594,426,50.361,1.127,1321.0277,5.6279,6.599,0.2773,1.2922,0,0,0,3,Gaming
3.188,6.8096,0.0,27.1797,-0.0389,3.7399,0.002,0.0157,0.1996,0.0976,0.3932,411,66.1957,0.5605,168.61,2.2556,0.0,0.0009,0.0,0,0,0,4,Idle
41.2567,50.4039,7.3178,52.8712,3.5534,15.1888,0.0055,0.0116,0.0577,0.0534,3.2137,447,125.1061,1.5983,2678.1312,7.1327,13.6536,2.699,15.5645,0,0,1,2,Compiling
88.2175,95.9389,4.293,75.7954,3.5735,11.4963,0.0059,0.0089,0.1257,0.0688,3.5808,416,88.2253,1.7391,2632.819,9.9971,26.535,1.735,11.0481,1,0,1,2,Compiling
22.1946,33.8458,19.8326,35.6104,3.6644,10.8791,0.0527,0.0396,4.3498,0.1256,3.1273,475,123.6726,0.5462,473.0907,4.2219,0.9227,0.147,0.7392,0,1,0,1,Browsing
10.608,26.3507,20.7293,40.7416,3.955,11.081,0.0505,0.0308,3.9987,0.0988,1.3722,405,69.0116,0.559,467.6418,3.0526,0.5708,0.1515,0.9914,0,1,0,1,Browsing
4.0571,6.0427,2.5424,28.9081,0.3299,3.6201,0.0044,0.0293,0.1939,0.0411,0.6108,486,180.6627,0.1778,87.6166,2.3976,0.0946,0.0091,0.0,0,0,0,4,Idle
10.4251,24.3735,13.9715,44.9404,3.888,12.2062,0.0389,0.0544,3.0887,0.12,2.8365,465,153.73,0.1346,596.0347,4.6648,1.0499,0.1333,0.877,1,1,0,1,Browsing
21.1644,42.2606,22.0012,38.0019,2.9033,11.7527,0.0296,0.0296,3.6135,0.0884,1.0091,460,117.9134,0.331,607.292,3.0362,1.1078,0.1655,0.9513,1,1,0,1,Browsing
49.5996,59.4934,5.9318,66.1769,4.2222,14.1373,0.0034,0.0147,0.1039,0.0283,1.8124,438,149.2139,1.465,2736.3257,5.3364,12.6672,2.7021,12.4588,1,0,1,2,Compiling
0.5846,2.9699,1.9283,36.7316,0.2203,4.9796,0.0031,0.0538,0.1015,0.0613,0.7712,440,105.2589,0.5418,167.0776,2.9369,0.0,0.0195,0.0,0,0,0,4,Idle
1.8095,8.4558,0.796,33.4379,0.0876,3.0178,0.0065,0.0387,0.1075,0.1927,0.2627,467,172.0657,0.0538,135.3708,2.8272,0.0,0.0028,0.0047,0,0,0,4,Idle
8.0924,21.7553,24.3513,45.362,0.0001,9.4676,0.0099,0.015,2.0593,0.0869,1.3354,502,139.0483,0.2404,510.735,4.0905,0.4487,0.0,0.5669,1,1,1,5,Coding
1.1841,3.2833,3.1708,21.3967,0.1887,4.2396,0.0013,0.056,0.0383,0.1277,0.4438,411,57.9802,0.7397,147.4811,2.9527,0.0317,0.0074,0.014,0,0,0,4,Idle
4.4095,8.1298,2.177,38.978,0.2837,4.0399,-0.0012,0.0602,0.089,0.1007,0.5503,406,55.4761,0.6886,111.1893,2.8867,0.0,0.0,0.0,0,0,0,4,Idle
75.8117,92.6442,4.7925,72.013,0.0114,6.9121,0.0549,0.2304,0.2798,0.3747,0.9777,443,113.6751,0.4634,1613.4622,6.2056,6.501,0.2513,0.7136,0,0,0,3,Gaming
11.2884,19.7757,8.1267,64.2039,5.1896,10.8154,0.0012,0.0059,0.041,0.0558,0.2378,487,193.3223,1.3043,2123.2833,6.6404,12.3297,2.106,12.1056,1,1,1,2,Compiling
46.4458,50.8831,2.8797,62.2088,-0.2327,8.0113,0.0456,0.2697,0.2442,0.5318,1.4176,471,163.3783,0.2468,2051.8887,5.9646,5.5201,0.4411,0.3973,0,0,0,3,Gaming
6.5561,10.7761,0.9301,38.1993,-0.2344,3.7817,0.0033,0.0649,0.0307,0.162,0.3763,453,103.4237,0.4518,100.8452,3.4988,0.0,0.0,0.008,0,0,0,4,Idle
9.1147,19.1864,8.3767,57.4634,7.4165,13.0454,-0.0007,0.0106,0.1127,0.0862,3.306,475,199.352,1.3937,2460.9897,10.4125,14.8566,0.987,9.0882,1,0,1,2,Compiling
2.3204,17.1172,24.7601,46.6491,4.4314,8.2207,0.0371,0.039,4.316,0.0916,2.5846,495,175.1692,0.2188,477.6509,3.6979,0.1354,0.1184,1.1089,0,1,0,1,Browsing
23.16,36.2686,12.8675,43.118,-0.1441,10.8289,0.0767,0.7612,0.0824,0.7028,0.6249,420,61.5232,0.699,697.2973,1.4729,1.2932,0.1727,0.28,0,1,0,0,Video_Call
75.3495,84.2667,2.7356,75.1507,0.2028,6.8588,0.0337,0.2643,0.1733,0.3785,1.0947,469,128.6281,0.3977,1728.4195,4.5602,5.5786,0.6112,0.9771,0,0,0,3,Gaming
16.0959,33.789,24.2503,38.1172,0.7057,3.7972,0.0098,0.0132,2.3165,0.0787,3.6235,433,57.9378,0.9061,364.5572,5.0162,0.2242,0.0,0.2451,1,1,0,5,Coding
20.8402,30.1627,9.8948,51.4004,1.8567,5.7139,0.1015,0.6568,0.0902,0.8463,1.6275,430,99.3721,0.4135,690.4603,2.1207,1.0073,0.1313,0.1529,0,1,0,0,Video_Call
19.4996,30.2955,30.4953,38.36,-0.1419,4.8722,0.005,0.0195,2.4266,0.1528,2.4788,447,118.2715,0.3359,511.588,4.2812,0.3531,0.0073,0.3285,1,0,0,5,Coding
67.8986,81.7442,1.7453,66.3017,0.229,12.3792,0.0158,0.1955,0.1941,0.5509,1.9334,446,111.3013,0.3784,1166.5873,5.4845,5.7422,0.393,0.3778,0,0,0,3,Gaming
87.0959,91.1797,1.6142,65.963,-0.1897,10.825,0.0379,0.1637,0.1379,0.3711,0.915,435,60.5848,0.7335,1607.8023,4.8874,4.7749,0.3964,0.7789,0,0,0,3,Gaming
2.3321,4.4399,2.705,24.9375,0.1696,4.4299,0.0015,0.0373,0.057,0.0934,0.4542,436,111.6296,0.4966,128.7926,2.1762,0.0356,0.0,0.008,0,0,0,4,Idle
11.2312,28.8328,23.2721,43.9813,-0.1666,11.96,0.0477,0.0367,3.1877,0.1544,1.5491,448,126.9546,0.4436,615.9167,4.4609,0.4197,0.273,0.5933,0,1,0,1,Browsing
11.4398,24.4193,9.316,41.5124,4.5841,16.1798,0.0079,0.0045,0.0549,0.0642,5.449,491,189.5469,1.2719,2541.3549,11.2847,17.2885,1.9213,16.6488,1,0,1,2,Compiling
14.8681,27.9175,18.7718,47.913,0.5329,9.1139,0.047,0.0177,4.2543,0.0864,2.2952,464,156.8054,0.1479,377.7715,4.5263,0.6293,0.2223,1.3504,0,0,0,1,Browsing
21.5847,39.7395,29.0864,40.9055,5.2142,9.7022,0.0372,0.0268,3.0235,0.0909,2.0621,459,96.5334,0.2653,574.3131,3.6288,0.7782,0.3112,0.8896,0,1,0,1,Browsing
29.4553,44.3641,8.7994,45.3631,0.6973,8.1613,0.094,0.6944,0.0773,0.8418,0.9718,457,93.1736,0.442,641.9722,2.0285,1.0974,0.1484,0.3166,0,1,0,0,Video_Call
8.1888,18.9415,18.9182,40.8192,0.4027,5.7028,0.0041,0.034,1.5401,0.1256,0.8344,491,145.7857,0.0508,496.9447,4.2734,0.2034,0.0125,0.3808,1,1,0,5,Coding
10.5445,23.3882,27.8546,30.0509,0.4979,3.1057,0.007,0.0271,2.157,0.1022,0.943,485,175.9606,0.2108,505.9054,3.3249,0.3235,0.0082,0.2497,1,1,0,5,Coding
44.7361,55.3347,4.1165,75.3338,-0.0879,6.0121,0.0518,0.2458,0.2717,0.3869,1.1977,472,163.7512,0.0,2080.1802,7.6345,8.1521,0.1116,0.8696,0,0,0,3,Gaming
25.9252,47.6767,31.2724,37.3474,0.6745,7.6158,0.0013,0.0382,1.4029,0.1175,2.5711,448,105.5523,0.5401,586.4819,3.8827,0.2799,0.0,0.5209,1,1,0,5,Coding
28.4859,48.144,23.4231,36.4883,0.3888,4.5694,0.0033,0.0238,1.8569,0.1012,1.1855,423,86.875,0.8513,465.099,4.7334,0.3579,0.0043,0.458,1,0,0,5,Coding
4.5378,6.89,0.9323,36.7577,0.2502,3.2562,0.0013,0.0266,0.0434,0.1453,0.572,428,65.7308,0.9433,136.2496,2.1586,0.0,0.0,0.0073,0,0,0,4,Idle
4.9639,8.5668,1.2112,23.1027,0.4107,4.8099,0.0012,0.0424,0.0683,0.1158,0.6769,415,73.1455,0.8008,128.7119,3.9453,0.0,0.0,0.0118,0,0,0,4,Idle
27.8476,47.8521,29.2023,33.1125,2.1416,10.798,0.0274,0.0205,2.1632,0.0916,2.0975,409,78.0032,0.9614,465.9795,5.0132,0.5493,0.1766,0.5657,0,1,0,1,Browsing
34.5933,43.3914,2.3813,68.5969,-0.3247,7.8276,0.0404,0.2372,0.2048,0.4422,2.2841,480,148.2652,0.3105,1572.1823,6.4691,9.1196,0.1247,0.902,0,0,0,3,Gaming
12.0216,21.5609,17.643,44.4608,4.925,11.2964,0.0384,0.0465,4.1834,0.1248,0.4336,425,61.1201,0.6899,514.6526,5.5294,0.5031,0.3137,0.9206,0,1,0,1,Browsing
27.9149,39.6928,21.3347,44.5743,0.9935,6.4922,0.0026,0.0255,3.1561,0.0879,1.9589,458,73.4432,0.4851,489.8011,3.8001,0.487,0.0073,0.5569,1,1,0,5,Coding
15.6147,23.5815,4.7663,76.3918,5.1724,6.3049,0.0103,0.0159,0.0927,0.0705,3.8995,469,183.9383,1.4277,1659.5261,7.7061,23.3749,0.8152,17.0774,1,0,1,2,Compiling
